Payment_Date,Payment_Total
2018-01-13 00:00:00,12467.3795055
2018-01-13 01:00:00,4538.877431
2018-01-13 02:00:00,2884.660115
2018-01-13 03:00:00,1672.939546
2018-01-13 04:00:00,540.729885
2018-01-13 05:00:00,459.3675
2018-01-13 06:00:00,80.3275
2018-01-13 07:00:00,911.2025
2018-01-13 08:00:00,1608.366885
2018-01-13 09:00:00,3043.9924885
2018-01-13 10:00:00,3294.749885
2018-01-13 11:00:00,4818.9595975
2018-01-13 12:00:00,8218.876695
2018-01-13 13:00:00,13232.060241
2018-01-13 14:00:00,12107.912195
2018-01-13 15:00:00,12624.239241
2018-01-13 16:00:00,14892.6143445
2018-01-13 17:00:00,15103.892057
2018-01-13 18:00:00,10697.35727
2018-01-13 19:00:00,13516.708425
2018-01-13 20:00:00,14363.9248905
2018-01-13 21:00:00,17146.9483965
2018-01-13 22:00:00,18624.939195
2018-01-13 23:00:00,21517.24589
2018-01-14 00:00:00,12671.712069
2018-01-14 01:00:00,6429.718885
2018-01-14 02:00:00,2627.186247
2018-01-14 03:00:00,1390.30377
2018-01-14 04:00:00,1615.981035
2018-01-14 05:00:00,404.57
2018-01-14 06:00:00,493.4075
2018-01-14 07:00:00,465.98
2018-01-14 08:00:00,504.85
2018-01-14 09:00:00,1838.930155
2018-01-14 10:00:00,2633.948431
2018-01-14 11:00:00,6246.972615
2018-01-14 12:00:00,10744.736879
2018-01-14 13:00:00,10939.811632
2018-01-14 14:00:00,5859.779046
2018-01-14 15:00:00,12524.476856
2018-01-14 16:00:00,14392.502195
2018-01-14 17:00:00,10712.893195
2018-01-14 18:00:00,11660.079425
2018-01-14 19:00:00,15559.7066435
2018-01-14 20:00:00,17259.38998
2018-01-14 21:00:00,18939.51008
2018-01-14 22:00:00,19125.9717585
2018-01-14 23:00:00,21907.441879
2018-01-15 00:00:00,12507.836655
2018-01-15 01:00:00,5923.5465
2018-01-15 02:00:00,1792.792385
2018-01-15 03:00:00,413.0225
2018-01-15 04:00:00,166.75
2018-01-15 05:00:00,45.9425
2018-01-15 06:00:00,476.5025
2018-01-15 07:00:00,144.44
2018-01-15 08:00:00,2726.592155
2018-01-15 09:00:00,5417.834
2018-01-15 10:00:00,5010.8375805
2018-01-15 11:00:00,8157.1328615
2018-01-15 12:00:00,10747.5083905
2018-01-15 13:00:00,12839.288137
2018-01-15 14:00:00,12642.5825
2018-01-15 15:00:00,11823.073502
2018-01-15 16:00:00,13142.78627
2018-01-15 17:00:00,8761.7927645
2018-01-15 18:00:00,8887.486925
2018-01-15 19:00:00,12039.08527
2018-01-15 20:00:00,14633.059586
2018-01-15 21:00:00,17106.904051
2018-01-15 22:00:00,18556.893695
2018-01-15 23:00:00,20361.9622955
2018-01-16 00:00:00,12943.560523
2018-01-16 01:00:00,4431.24831
2018-01-16 02:00:00,2458.976115
2018-01-16 03:00:00,464.0825
2018-01-16 04:00:00,76.8775
2018-01-16 05:00:00,40.1925
2018-01-16 06:00:00,121.555
2018-01-16 07:00:00,700.27525
2018-01-16 08:00:00,2514.3367355
2018-01-16 09:00:00,6064.60803
2018-01-16 10:00:00,8639.283161
2018-01-16 11:00:00,9492.962615
2018-01-16 12:00:00,6639.478356
2018-01-16 13:00:00,9046.03754
2018-01-16 14:00:00,9669.660115
2018-01-16 15:00:00,9091.037247
2018-01-16 16:00:00,10895.98504
2018-01-16 17:00:00,11209.1761665
2018-01-16 18:00:00,8355.497155
2018-01-16 19:00:00,8784.182931
2018-01-16 20:00:00,13477.42454
2018-01-16 21:00:00,14933.255241
2018-01-16 22:00:00,16782.7207415
2018-01-16 23:00:00,10817.991925
2018-01-17 00:00:00,9110.851931
2018-01-17 01:00:00,5360.931747
2018-01-17 02:00:00,1138.672385
2018-01-17 03:00:00,1062.6
2018-01-17 04:00:00,623.3575
2018-01-17 05:00:00,434.815
2018-01-17 06:00:00,529.7475
2018-01-17 07:00:00,374.7275
2018-01-17 08:00:00,2142.242885
2018-01-17 09:00:00,4523.594
2018-01-17 10:00:00,6206.239615
2018-01-17 11:00:00,7814.069289
2018-01-17 12:00:00,7132.7486725
2018-01-17 13:00:00,10360.579816
2018-01-17 14:00:00,9191.524224
2018-01-17 15:00:00,8514.162885
2018-01-17 16:00:00,9878.69458
2018-01-17 17:00:00,9426.296885
2018-01-17 18:00:00,6130.304885
2018-01-17 19:00:00,11934.9873505
2018-01-17 20:00:00,11022.09519
2018-01-17 21:00:00,13297.444572
2018-01-17 22:00:00,14794.312931
2018-01-17 23:00:00,14492.265132
2018-01-18 00:00:00,11383.251747
2018-01-18 01:00:00,4978.92523
2018-01-18 02:00:00,2254.644
2018-01-18 03:00:00,1409.715885
2018-01-18 04:00:00,792.867385
2018-01-18 05:00:00,80.3275
2018-01-18 06:00:00,17.1925
2018-01-18 07:00:00,1848.3835
2018-01-18 08:00:00,1392.87977
2018-01-18 09:00:00,3482.832385
2018-01-18 10:00:00,4598.137115
2018-01-18 11:00:00,7385.9555
2018-01-18 12:00:00,5689.40627
2018-01-18 13:00:00,8323.826408
2018-01-18 14:00:00,10098.24108
2018-01-18 15:00:00,9909.0324425
2018-01-18 16:00:00,8260.162155
2018-01-18 17:00:00,7524.9205455
2018-01-18 18:00:00,6411.307385
2018-01-18 19:00:00,6757.377
2018-01-18 20:00:00,10632.6352815
2018-01-18 21:00:00,13173.392876
2018-01-18 22:00:00,11507.015276
2018-01-18 23:00:00,13647.717
2018-01-19 00:00:00,6880.424585
2018-01-19 01:00:00,4601.93223
2018-01-19 02:00:00,1655.08023
2018-01-19 03:00:00,315.387615
2018-01-19 04:00:00,137.1375
2018-01-19 05:00:00,322.782
2018-01-19 06:00:00,959.157385
2018-01-19 07:00:00,357.305
2018-01-19 08:00:00,2038.8925
2018-01-19 09:00:00,2063.433385
2018-01-19 10:00:00,3817.355655
2018-01-19 11:00:00,6734.836862
2018-01-19 12:00:00,7144.16777
2018-01-19 13:00:00,6842.5345575
2018-01-19 14:00:00,8060.441425
2018-01-19 15:00:00,5175.448201
2018-01-19 16:00:00,6156.8010345
2018-01-19 17:00:00,6479.962201
2018-01-19 18:00:00,5967.384891
2018-01-19 19:00:00,5972.4089535
2018-01-19 20:00:00,7820.22977
2018-01-19 21:00:00,10662.074879
2018-01-19 22:00:00,11627.914385
2018-01-19 23:00:00,12817.47473
2018-01-20 00:00:00,7926.259977
2018-01-20 01:00:00,5672.62754
2018-01-20 02:00:00,1649.1919655
2018-01-20 03:00:00,1647.2025
2018-01-20 04:00:00,533.83
2018-01-20 05:00:00,0.0
2018-01-20 06:00:00,68.885
2018-01-20 07:00:00,307.165
2018-01-20 08:00:00,667.575
2018-01-20 09:00:00,3250.612885
2018-01-20 10:00:00,5880.122385
2018-01-20 11:00:00,4693.908632
2018-01-20 12:00:00,7615.300276
2018-01-20 13:00:00,10591.1098165
2018-01-20 14:00:00,9749.35477
2018-01-20 15:00:00,4040.00658
2018-01-20 16:00:00,6654.015115
2018-01-20 17:00:00,5542.2985
2018-01-20 18:00:00,5593.1285805
2018-01-20 19:00:00,6979.775316
2018-01-20 20:00:00,9974.673856
2018-01-20 21:00:00,11703.883201
2018-01-20 22:00:00,12204.558586
2018-01-20 23:00:00,13113.518816
2018-01-21 00:00:00,9112.726615
2018-01-21 01:00:00,4240.14223
2018-01-21 02:00:00,1912.63423
2018-01-21 03:00:00,783.61
2018-01-21 04:00:00,337.18
2018-01-21 05:00:00,364.8145
2018-01-21 06:00:00,183.655
2018-01-21 07:00:00,249.9525
2018-01-21 08:00:00,471.9025
2018-01-21 09:00:00,906.4875
2018-01-21 10:00:00,2754.5375
2018-01-21 11:00:00,3394.5126955
2018-01-21 12:00:00,5194.8947355
2018-01-21 13:00:00,7144.478431
2018-01-21 14:00:00,8034.3018215
2018-01-21 15:00:00,7981.288075
2018-01-21 16:00:00,7194.296661
2018-01-21 17:00:00,6738.515827
2018-01-21 18:00:00,6362.64065
